Year,Black,White
1915,195.2,98.6
1916,184.3,99
1917,173.4,98.2
1918,162.5,97.4
1919,134.3,83
1920,135.6,82.1
1921,110.7,72.5
1922,111.6,73.2
1923,119.9,73.5
1924,114.1,66.8
1925,112,68.3
1926,112.1,70
1927,99.9,60.6
1928,105.9,64
1929,101.5,63.2
1930,99.5,60.1
1931,92.7,57.4
1932,84.1,53.3
1933,85.4,52.8
1934,91,54.5
1935,81.9,51.9
1936,86.1,52.9
1937,82,50.3
1938,77.9,47.1
1939,73.2,44.3
1940,72.9,43.2
1941,74.1,41.2
1942,64.2,37.3
1943,61.5,37.5
1944,59.3,36.9
1945,56.2,35.6
1946,48.8,31.8
1947,47.7,30.1
1948,45.7,29.9
1949,46.8,28.9
1950,43.9,26.8
1951,44.3,25.8
1952,46.9,25.5
1953,44.5,25
1954,42.9,23.9
1955,43.1,23.6
1956,42.4,23.2
1957,44.2,23.3
1958,46.3,23.8
1959,44.8,23.2
1960,44.3,22.9
1961,41.8,22.4
1962,42.6,22.3
1963,42.8,22.2
1964,42.3,21.6
1965,41.7,21.5
1966,40.2,20.6
1967,37.5,19.7
1968,36.2,19.2
1969,34.8,18.4
1970,33.3,17.6
1971,30.9,17
1972,30.3,16.2
1973,28.8,15.6
1974,27.5,14.7
1975,27,14
1976,26.4,13.2
1977,24.4,12.2
1978,23.9,11.9
1979,22.6,11.3
1980,22.2,10.9
1981,20.8,10.3
1982,20.5,9.9
1983,20,9.6
1984,19.2,9.3
1985,19,9.2
1986,18.9,8.8
1987,18.8,8.5
1988,18.5,8.4
1989,18.6,8.1
1990,18,7.6
1991,17.6,7.3
1992,16.8,6.9
1993,16.5,6.8
1994,15.8,6.6
1995,15.1,6.3
1996,14.7,6.1
1997,14.2,6
1998,14.3,6
1999,14.6,5.8
2000,14.1,5.7
2001,14,5.7
2002,14.4,5.8
2003,13.5,5.7
2004,13.2,5.7
2005,13.3,5.7
2006,12.9,5.6
2007,13.3,5.6
2008,12.7,5.5
2009,12.4,5.3
2010,11.5,5.2
2011,11.2,5.1
2012,10.9,5.1
2013,10.8,5.1
